Year,Day,Hour,Min,Bz,Vsw,Nsw,Psw,AE,SYM-H
2015,173,0,0,3.22,342.3,12.57,2.95,57,8
2015,173,0,1,2.37,342.3,12.69,2.97,57,8
2015,173,0,2,1.61,340.9,13.62,3.17,58,8
2015,173,0,3,1.64,341.8,13.11,3.06,59,8
2015,173,0,4,0.61,341.8,12.88,3.01,58,9
2015,173,0,5,0.6,337.4,11.97,2.73,58,9
2015,173,0,6,0.74,341.7,12.83,3.0,56,8
2015,173,0,7,0.97,340.2,13.15,3.04,56,9
2015,173,0,8,0.8,337.9,12.74,2.91,56,9
2015,173,0,9,-0.53,341.8,12.72,2.97,56,8
2015,173,0,10,-1.58,342.3,12.72,2.98,57,9
2015,173,0,11,-0.22,,,,57,9
2015,173,0,12,-4.89,,,,57,9
2015,173,0,13,-4.83,,,,58,9
2015,173,0,14,-5.14,331.7,14.21,3.13,58,9
2015,173,0,15,-5.25,331.7,14.21,3.13,64,9
2015,173,0,16,-5.26,331.7,14.21,3.13,69,9
2015,173,0,17,-5.3,,,,73,9
2015,173,0,18,-4.76,,,,74,9
2015,173,0,19,-5.11,,,,74,9
2015,173,0,20,-4.38,,,,77,9
2015,173,0,21,3.12,,,,86,9
2015,173,0,22,2.09,329.8,14.82,3.22,85,9
2015,173,0,23,2.0,329.9,14.75,3.21,82,8
2015,173,0,24,3.47,330.8,14.32,3.13,85,8
2015,173,0,25,3.26,330.9,14.31,3.13,95,7
2015,173,0,26,1.51,329.6,15.19,3.3,98,7
2015,173,0,27,0.78,329.5,14.98,3.25,103,7
2015,173,0,28,-1.18,328.2,12.37,2.66,117,8
2015,173,0,29,-1.34,328.5,14.4,3.11,127,7
2015,173,0,30,0.55,331.3,13.92,3.06,127,7
2015,173,0,31,0.79,334.4,13.06,2.92,121,7
2015,173,0,32,-0.74,334.5,13.41,3.0,124,7
2015,173,0,33,-1.41,336.1,13.96,3.15,124,7
2015,173,0,34,-1.6,335.8,13.81,3.11,117,7
2015,173,0,35,-2.17,335.7,13.36,3.01,106,7
2015,173,0,36,1.88,336.5,11.95,2.71,100,7
2015,173,0,37,4.84,337.3,11.96,2.72,93,7
2015,173,0,38,4.53,,,,92,7
2015,173,0,39,5.74,339.3,12.41,2.86,95,7
2015,173,0,40,7.51,340.3,12.22,2.83,96,7
2015,173,0,41,7.76,343.7,11.56,2.73,94,7
2015,173,0,42,8.34,343.3,11.41,2.69,88,7
2015,173,0,43,8.03,342.6,11.17,2.62,84,6
2015,173,0,44,8.39,344.4,11.08,2.63,80,6
2015,173,0,45,8.38,346.9,10.9,2.62,77,5
2015,173,0,46,5.28,349.1,10.7,2.61,76,5
2015,173,0,47,1.78,,,,75,5
2015,173,0,48,-1.41,,,,72,5
2015,173,0,49,-3.24,,,,66,5
2015,173,0,50,-4.51,,,,61,5
2015,173,0,51,-1.47,,,,59,6
2015,173,0,52,3.44,,,,60,6
2015,173,0,53,8.78,356.9,9.18,2.34,61,6
2015,173,0,54,6.92,352.3,9.41,2.34,60,6
2015,173,0,55,9.18,348.4,9.61,2.33,59,6
2015,173,0,56,7.94,354.8,9.76,2.46,57,6
2015,173,0,57,6.39,354.8,9.76,2.46,55,5
2015,173,0,58,7.97,358.3,10.72,2.75,54,5
2015,173,0,59,8.38,360.1,11.15,2.89,54,5
2015,173,1,0,6.87,360.7,11.28,2.94,55,5
2015,173,1,1,7.57,354.3,10.04,2.52,54,5
2015,173,1,2,7.88,354.3,10.04,2.52,53,5
2015,173,1,3,7.05,352.1,10.63,2.64,54,5
2015,173,1,4,6.45,351.4,10.81,2.67,56,5
2015,173,1,5,6.62,352.3,11.05,2.74,54,6
2015,173,1,6,5.44,349.0,11.2,2.73,56,6
2015,173,1,7,4.75,347.1,11.59,2.79,57,6
2015,173,1,8,5.1,346.5,11.92,2.86,57,6
2015,173,1,9,6.07,355.1,11.1,2.8,57,6
2015,173,1,10,6.21,354.0,10.84,2.72,56,6
2015,173,1,11,7.07,351.4,10.9,2.69,56,6
2015,173,1,12,7.38,360.2,10.16,2.64,53,6
2015,173,1,13,7.18,360.3,10.17,2.64,55,6
2015,173,1,14,6.87,361.1,10.21,2.66,54,6
2015,173,1,15,6.68,361.1,10.21,2.66,53,6
2015,173,1,16,6.7,355.4,11.35,2.87,56,5
2015,173,1,17,6.79,355.4,11.35,2.87,55,5
2015,173,1,18,6.47,355.4,11.35,2.87,54,5
2015,173,1,19,6.15,347.5,9.88,2.39,53,5
2015,173,1,20,5.68,348.0,9.96,2.41,52,5
2015,173,1,21,5.86,352.9,10.83,2.7,55,5
2015,173,1,22,5.47,354.3,11.08,2.78,56,5
