1	57
2	57
3	58
4	59
5	58
6	58
7	56
8	56
9	56
10	56
11	57
12	57
13	57
14	58
15	58
16	64
17	69
18	73
19	74
20	74
21	77
22	86
23	85
24	82
25	85
26	95
27	98
28	103
29	117
30	127
31	127
32	121
33	124
34	124
35	117
36	106
37	100
38	93
39	92
40	95
41	96
42	94
43	88
44	84
45	80
46	77
47	76
48	75
49	72
50	66
51	61
52	59
53	60
54	61
55	60
56	59
57	57
58	55
59	54
60	54
61	55
62	54
63	53
64	54
65	56
66	54
67	56
68	57
69	57
70	57
71	56
72	56
73	53
74	55
75	54
76	53
77	56
78	55
79	54
80	53
81	52
82	55
83	56
84	55
85	54
86	55
87	55
88	55
89	54
90	56
91	55
92	55
93	55
94	53
95	52
96	54
97	54
98	51
99	52
100	53
101	53
102	53
103	52
104	53
105	53
106	53
107	54
108	53
109	53
110	52
111	51
112	51
113	51
114	51
115	51
116	51
117	51
118	50
119	51
120	54
121	53
122	52
123	55
124	56
125	60
126	60
127	57
128	57
129	57
130	56
131	54
132	55
133	56
134	54
135	53
136	51
137	51
138	52
139	53
140	54
141	54
142	54
143	52
144	53
145	53
146	52
147	50
148	49
149	49
150	49
151	48
152	48
153	48
154	50
155	52
156	53
157	53
158	51
159	52
160	54
161	55
162	56
163	55
164	56
165	54
166	52
167	52
168	54
169	55
170	55
171	56
172	59
173	61
174	62
175	61
176	63
177	66
178	73
179	77
180	74
181	70
182	68
183	70
184	74
185	75
186	71
187	69
188	72
189	71
190	68
191	66
192	65
193	64
194	63
195	60
196	58
197	60
198	64
199	69
200	75
201	80
202	83
203	85
204	86
205	85
206	85
207	82
208	86
209	86
210	77
211	67
212	65
213	63
214	61
215	59
216	58
217	55
218	53
219	53
220	55
221	55
222	55
223	55
224	57
225	58
226	61
227	60
228	58
229	56
230	56
231	59
232	64
233	68
234	72
235	72
236	72
237	74
238	78
239	83
240	87
241	89
242	90
243	90
244	92
245	96
246	101
247	103
248	100
249	100
250	99
251	98
252	97
253	97
254	94
255	88
256	84
257	83
258	83
259	81
260	81
261	82
262	84
263	85
264	86
265	87
266	86
267	85
268	82
269	81
270	83
271	83
272	82
273	79
274	77
275	75
276	73
277	69
278	64
279	64
